DATE,age,bmr,body_fat,gender,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_count,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight
20130723,27.556164383561644,1774.0442719238356,,0,1.778,,,,,,,,1869.1772723572356,,,,,,,,,,,,,,1.0,50.0,,,,,,,,,,,,73.0283
20130726,27.564383561643837,1773.9887513758904,,0,1.778,,,,,,,,2111.1707511638906,,,23939.0,806.0,28184.0,1.0,23684.0,1.0,540.0,3914.0,3374.0,8.0,,,,,,,,,,,,,,,73.0283
20130727,27.567123287671233,1773.9702445265755,,0,1.778,,,,,,,,2102.8322455585753,,,62279.0,702.0,62778.0,0.0,61578.0,1.0,651.0,651.0,0.0,1.0,,,,,,,,,,,,,,,73.0283
20130728,27.56986301369863,1773.9517376772603,,0,1.778,,,,,,,,1984.6967377192602,,,55679.0,701.0,56780.0,0.0,54980.0,1.0,1164.0,1164.0,0.0,3.0,,,,,,,,,,,,,,,73.0283
20130730,27.575342465753426,1773.9147239786303,,0,1.778,,,,,,,,2189.8827248446305,,,55079.0,666.0,56215.0,0.0,54415.0,1.0,1080.0,1150.0,70.0,4.0,,,,-3421.0,676.0,20809.0,0.0,,,,,,,,73.0283
20130731,27.578082191780823,1773.8962171293151,,0,1.778,,,,,,,,2102.502216375315,,,80398.0,647.0,82755.0,0.0,79755.0,2.0,1654.0,2614.0,960.0,6.0,,,,4199.0,996.0,21506.0,0.0,3206.0,1.0,11421.0,17421.0,6000.0,65.0,,73.0283
20130801,27.58082191780822,1773.87771028,,0,1.778,,,,,,,,2093.183709961,,,,,,,,,,,,,,,,2099.0,2421.0,29912.0,2.0,212.0,1.0,8752.0,27454.0,18702.0,77.0,,73.0283
20130802,27.583561643835615,1773.859203430685,,0,1.778,,,,,,,,1999.1132030286851,,,,,,,,,,,,,,,,1559.0,999.0,29661.0,1.0,1161.0,1.0,14068.0,27748.0,13680.0,89.0,,73.0283
20130803,27.586301369863016,1773.84069658137,,0,1.778,,,,,,,,1959.13069702037,,,,,,,,,,,,,,,,9179.0,1495.0,37963.0,1.0,7963.0,1.0,18174.0,28793.0,10619.0,95.0,,73.0283
20130804,27.589041095890412,1773.822189732055,,0,1.778,,,,,,,,2444.334191366055,,,,,,,,,,,,,,,,7619.0,2950.0,35125.0,3.0,6625.0,1.0,11169.0,26345.0,15176.0,79.0,,73.0283
20130805,27.59178082191781,1773.8036828827398,,0,1.778,,,,,,,,2090.59568527774,,,66959.0,722.0,68047.0,0.0,66247.0,1.0,1164.0,1164.0,0.0,3.0,,,,4679.0,1493.0,24114.0,1.0,4014.0,1.0,5460.0,18973.0,13513.0,57.0,,73.0283
20130806,27.594520547945205,1773.7851760334247,,0,1.778,,,,,,,,2265.608178461425,,,90178.0,1039.0,91243.0,0.0,89143.0,2.0,437.0,1441.0,1004.0,2.0,,,,959.0,1333.0,20029.0,0.0,-371.0,1.0,10980.0,19130.0,8150.0,69.0,,73.0283
20130807,27.5972602739726,1773.7666691841096,,0,1.778,,,,,,,,2220.4846688061098,,,,,,,,,,,,,,,,-2581.0,687.0,19834.0,0.0,-3266.0,1.0,11152.0,22552.0,11400.0,76.0,,73.0283
20130808,27.6,1773.7481623347946,,0,1.778,,,,,,,,2246.967164283795,,,,,,,,,,,,,,,,4199.0,2215.0,20598.0,2.0,2598.0,1.0,9015.0,16023.0,7008.0,56.0,,73.0283
20130809,27.602739726027398,1773.7296554854795,,0,1.778,,,,,,,,2105.0606553964794,,,69059.0,680.0,70181.0,0.0,68381.0,1.0,1164.0,1164.0,0.0,3.0,,,,1019.0,2943.0,27643.0,1.0,-1457.0,1.0,12661.0,26354.0,13693.0,89.0,,73.0283
20130810,27.605479452054794,1773.7111486361646,,0,1.778,,,,,,,,2353.6551487911647,,,,,,,,,,,,,,,,-4801.0,674.0,24234.0,0.0,-5466.0,1.0,18208.0,29067.0,10859.0,100.0,,73.0283
20130811,27.60821917808219,1773.6926417868494,,0,1.778,6792.0,,,,,,,2299.0976406708496,,,52499.0,728.0,53584.0,0.0,51784.0,1.0,1152.0,1152.0,0.0,3.0,,,,119.0,1861.0,31841.0,1.0,-1459.0,1.0,15203.0,31493.0,16290.0,100.0,,73.0283
20130812,27.610958904109587,1773.6741349375343,,0,1.778,3620.0,288.36999999,5585.0,38520.0,798.0,10620.0,6996.0,2062.0441349275343,0.0,0.0,,,,,,,,,,,,,,1139.0,3142.0,26595.0,0.0,-105.0,1.0,11281.0,25583.0,14302.0,83.0,,73.0283
20130813,27.613698630136987,1773.6556280882191,,0,1.778,4499.0,388.554998681,7279.0,33960.0,850.0,6120.0,8905.0,2162.2106267692193,0.0,0.0,,,,,,,,,,,,,,4679.0,1805.0,32812.0,1.0,4012.0,1.0,10437.0,28077.0,17640.0,81.0,,73.0283
20130814,27.616438356164384,1773.6371212389042,,0,1.778,2968.0,241.671999462,4682.0,37920.0,485.0,8520.0,5829.0,2015.3091207009043,0.0,0.0,,,,,,,,,,,,,,5399.0,981.0,25685.0,0.0,4685.0,1.0,7380.0,20280.0,12900.0,62.0,,73.0283
20130815,27.61917808219178,1773.618614389589,,0,1.778,5671.0,448.158001572,8745.0,34800.0,1149.0,4380.0,10936.0,2221.776615961589,0.0,0.0,,,,,,,,,,,,,,7499.0,4067.0,26517.0,0.0,6117.0,1.0,8580.0,19080.0,10500.0,62.0,,73.0283
20130816,27.621917808219177,1773.6001075402742,,0,1.778,4638.0,370.446000628,7158.0,31140.0,811.0,5820.0,8946.0,2144.0461081682743,0.0,0.0,,,,,,,,,,,,,,-2281.0,3387.0,30018.0,1.0,-3882.0,1.0,16155.0,31155.0,15000.0,100.0,,73.0283
20130817,27.624657534246577,1773.581600690959,,0,1.778,4845.0,359.129000038,7144.0,32280.0,1060.0,3780.0,9079.0,2132.710600728959,0.0,0.0,,,,,,,,,,,,,,419.0,940.0,24143.0,1.0,143.0,1.0,13584.0,23304.0,9720.0,83.0,,73.0283
20130818,27.627397260273973,1773.5630938416439,,0,1.778,8078.0,600.577002533,11953.0,25260.0,3402.0,4500.0,15184.0,2374.1400963746437,0.0,0.0,,,,,,,,,,,,,,-1.0,1351.0,31709.0,0.0,-1291.0,1.0,12780.0,31800.0,19020.0,98.0,,73.0283
20130819,27.63013698630137,1773.5445869923287,,0,1.778,45050.0,520.060999751,9650.0,33480.0,636.0,5640.0,11659.0,2293.605586743329,1.0,42151.0,,,,,,,,,,,,,,1679.0,1169.0,13291.0,0.0,991.0,1.0,7380.0,11700.0,4320.0,43.0,,73.0283
20130820,27.632876712328766,1773.5260801430138,,0,1.778,4898.0,376.332998961,7472.0,36540.0,1240.0,13140.0,9381.0,2149.8590791040137,0.0,0.0,67919.0,2158.0,69374.0,0.0,65774.0,1.0,540.0,1565.0,1025.0,3.0,,,,4559.0,3183.0,30244.0,1.0,2044.0,1.0,9473.0,25433.0,15960.0,75.0,,73.0283
20130821,27.635616438356166,1773.5075732936987,,0,1.778,4118.0,341.779000826,6485.0,36960.0,946.0,4920.0,8035.0,2115.286574119699,0.0,0.0,,,,,,,,,,,,,,3299.0,1234.0,28700.0,2.0,2600.0,1.0,14580.0,25135.0,10555.0,87.0,,73.0283
20130822,27.638356164383563,1773.4890664443838,,0,1.778,7728.0,630.324997999,12121.0,33120.0,2573.0,9660.0,14995.0,2403.814064443384,0.0,0.0,,,,,,,,,,,,,,3359.0,3068.0,29992.0,0.0,2692.0,1.0,10500.0,26820.0,16320.0,81.0,,73.0283
20130823,27.64109589041096,1773.4705595950686,,0,1.778,3041.0,245.779998817,4690.0,38040.0,480.0,8280.0,5884.0,2019.2505584120686,0.0,0.0,,,,,,,,,,,,,,3299.0,1980.0,27720.0,0.0,1320.0,1.0,10380.0,24442.0,14062.0,78.0,,73.0283
20130824,27.643835616438356,1773.4520527457535,,0,1.778,7158.0,615.946001291,11674.0,27360.0,893.0,4200.0,14305.0,2389.3980540367534,0.0,0.0,,,,,,,,,,,,,,3599.0,2173.0,31400.0,2.0,2600.0,1.0,11580.0,27327.0,15747.0,84.0,,73.0283
20130825,27.646575342465752,1773.4335458964383,,0,1.778,5000.0,395.582002319,7795.0,34200.0,838.0,6960.0,9748.0,2169.0155482154382,0.0,0.0,67859.0,299.0,68761.0,0.0,67561.0,1.0,0.0,1179.0,1179.0,1.0,,,,4319.0,2510.0,33758.0,2.0,4058.0,1.0,10112.0,27212.0,17100.0,79.0,,73.0283
20130826,27.649315068493152,1773.4150390471234,,0,1.778,5688.0,454.540998936,8782.0,29880.0,858.0,5940.0,10976.0,2227.956037983123,0.0,0.0,,,,,,,,,,,,,,4379.0,281.0,32916.0,0.0,4116.0,1.0,10800.0,28543.0,17743.0,86.0,,73.0283
20130827,27.65205479452055,1773.3965321978083,,0,1.778,6613.0,541.155999266,10329.0,31980.0,994.0,8280.0,12846.0,2314.552531463808,0.0,0.0,66359.0,993.0,69241.0,1.0,65641.0,1.0,1799.0,2759.0,960.0,6.0,,,,2579.0,2204.0,30676.0,0.0,2176.0,1.0,10799.0,28080.0,17281.0,85.0,,73.0283
20130828,27.654794520547945,1773.3780253484933,,0,1.778,2777.0,231.34600091,4455.0,39420.0,694.0,14460.0,5467.0,2004.7240262584933,0.0,0.0,60659.0,745.0,61720.0,0.0,59920.0,1.0,1115.0,1115.0,0.0,3.0,,,,7079.0,682.0,31598.0,0.0,6398.0,1.0,11581.0,24540.0,12959.0,77.0,,73.0283
20130829,27.65753424657534,1773.3595184991782,,0,1.778,3541.0,309.438001171,5710.0,36780.0,703.0,4920.0,6994.0,2082.797519670178,0.0,0.0,70379.0,1675.0,73265.0,0.0,69365.0,1.0,1980.0,2820.0,840.0,9.0,,,,1799.0,3036.0,25143.0,0.0,-957.0,1.0,8881.0,23301.0,14420.0,74.0,,73.0283
20130830,27.660273972602738,1773.341011649863,,0,1.778,5409.0,471.377998948,8722.0,31260.0,942.0,5520.0,10658.0,2244.719010597863,0.0,0.0,56879.0,390.0,58298.0,0.0,56498.0,1.0,1080.0,1452.0,372.0,4.0,,,,8039.0,2993.0,29617.0,0.0,5617.0,1.0,8700.0,21540.0,12840.0,65.0,,73.0283
20130831,27.663013698630138,1773.322504800548,,0,1.778,3134.0,273.889000222,5094.0,34920.0,783.0,4440.0,6215.0,2047.211505022548,0.0,0.0,,,,,,,,,,,,,,1679.0,2961.0,38499.0,0.0,-501.0,1.0,20882.0,36780.0,15898.0,100.0,,73.0283
20130901,27.665753424657535,1773.303997951233,,0,1.778,5643.0,433.925998643,8369.0,31560.0,1977.0,5040.0,10625.0,2207.229996594233,0.0,0.0,,,,,,,,,,,,,,6779.0,1036.0,34291.0,0.0,5791.0,1.0,7860.0,27613.0,19753.0,75.0,,73.0283
20130902,27.66849315068493,1773.2854911019178,,0,1.778,1338.0,133.653000057,2293.0,38520.0,391.0,6360.0,2711.0,1906.938491158918,0.0,0.0,,,,,,,,,,,,,,3419.0,3472.0,30308.0,0.0,2108.0,1.0,11700.0,27000.0,15300.0,84.0,,73.0283
20130903,27.671232876712327,1773.266984252603,,0,1.778,8423.0,754.365997121,13874.0,30960.0,2378.0,13860.0,16847.0,2527.632981373603,0.0,0.0,61020.0,1083.0,61747.0,0.0,59947.0,1.0,0.0,785.0,785.0,1.0,,,,5939.0,2525.0,33775.0,2.0,5575.0,1.0,5100.0,25905.0,20805.0,66.0,,73.0283
20130904,27.673972602739727,1773.2484774032878,,0,1.778,4414.0,401.891001508,7303.0,34320.0,688.0,7740.0,8852.0,2175.139478911288,0.0,0.0,64139.0,998.0,64959.0,0.0,63159.0,1.0,868.0,868.0,0.0,2.0,,,,7019.0,933.0,28227.0,0.0,6627.0,1.0,7440.0,21180.0,13740.0,63.0,,73.0283
20130905,27.676712328767124,1773.2299705539726,,0,1.778,7820.0,651.71400106,12524.0,30240.0,2381.0,6180.0,15357.0,2424.9439716139727,0.0,0.0,55799.0,1411.0,56202.0,0.0,54402.0,1.0,0.0,428.0,428.0,0.0,,,,358.0,3684.0,29695.0,1.0,-2405.0,1.0,13684.0,29204.0,15520.0,96.0,,73.0283
20130906,27.67945205479452,1773.2114637046575,,0,1.778,5376.0,437.054998375,8389.0,34320.0,1422.0,8160.0,10433.0,2210.2664620796577,0.0,0.0,,,,,,,,,,,,,,6659.0,1487.0,34234.0,2.0,6334.0,1.0,11160.0,26619.0,15459.0,79.0,,73.0283
20130907,27.682191780821917,1773.1929568553426,,0,1.778,4210.0,343.487997904,6669.0,35400.0,1972.0,5700.0,8280.0,2116.6809547593425,0.0,0.0,,,,,,,,,,,,,,7859.0,1390.0,36890.0,0.0,7190.0,1.0,9228.0,29388.0,20160.0,83.0,,73.0283
20130908,27.684931506849317,1773.1744500060274,,0,1.778,2732.0,241.221001104,4462.0,35460.0,883.0,4980.0,5440.0,2014.3954511100274,0.0,0.0,,,,,,,,,,,,,,899.0,1700.0,28737.0,1.0,537.0,1.0,7367.0,27569.0,20202.0,77.0,,73.0283
20130909,27.687671232876713,1773.1559431567125,,0,1.778,7873.0,633.730001435,12231.0,32040.0,1939.0,8700.0,15223.0,2406.8859445917124,0.0,0.0,63059.0,672.0,64190.0,0.0,62390.0,1.0,1156.0,1156.0,0.0,4.0,,,,7439.0,1541.0,31939.0,1.0,7039.0,1.0,9961.0,23630.0,13669.0,71.0,,73.0283
20130910,27.69041095890411,1773.1374363073974,,0,1.778,5086.0,436.710000619,8198.0,32040.0,1052.0,4080.0,10045.0,2209.847436926397,0.0,0.0,,,,,,,,,,,,,,6359.0,2057.0,32960.0,1.0,5660.0,1.0,6660.0,25883.0,19223.0,70.0,,73.0283
20130911,27.693150684931506,1773.1189294580822,,0,1.778,4851.0,414.971001178,7794.0,36960.0,755.0,6120.0,9542.0,2188.089930636082,0.0,0.0,,,,,,,,,,,,,,-1201.0,2235.0,28694.0,2.0,-1906.0,1.0,13262.0,28411.0,15149.0,93.0,,73.0283
20130912,27.695890410958903,1773.100422608767,,0,1.778,4066.0,329.022998385,6253.0,34080.0,613.0,13560.0,7784.0,2102.123420993767,0.0,0.0,,,,,,,,,,,,,,1739.0,1579.0,26981.0,1.0,581.0,1.0,9479.0,25038.0,15559.0,77.0,,73.0283
20130913,27.698630136986303,1773.0819157594522,,0,1.778,6997.0,528.236998171,10235.0,34140.0,1115.0,8220.0,13082.0,2301.3189139304523,0.0,0.0,,,,,,,,,,,,,,3959.0,6858.0,26722.0,1.0,322.0,1.0,12680.0,20540.0,7860.0,75.0,,73.0283
20130914,27.7013698630137,1773.063408910137,,0,1.778,845.0,86.3179998919,1479.0,40080.0,293.0,6360.0,1735.0,1859.381408802037,0.0,0.0,61199.0,992.0,62015.0,0.0,60215.0,1.0,853.0,853.0,0.0,2.0,,,,7259.0,1794.0,36246.0,2.0,6846.0,1.0,14040.0,27725.0,13685.0,90.0,,73.0283
20130915,27.704109589041096,1773.044902060822,,0,1.778,564.0,48.0160003603,888.0,41520.0,128.0,12960.0,1099.0,1821.0609024211221,0.0,0.0,,,,,,,,,,,,,,7619.0,3789.0,35031.0,0.0,3831.0,1.0,7382.0,27685.0,20303.0,75.0,,73.0283
20130916,27.706849315068492,1773.026395211507,,0,1.778,6751.0,593.481000245,10967.0,32580.0,1232.0,5760.0,13410.0,2366.507395456507,0.0,0.0,,,,,,,,,,,,,,5699.0,2748.0,31992.0,0.0,3192.0,1.0,10981.0,26280.0,15299.0,81.0,,73.0283
20130917,27.70958904109589,1773.0078883621918,,0,1.778,6677.0,597.02899947,10907.0,30000.0,1150.0,4560.0,13314.0,2370.036887832192,0.0,0.0,,,,,,,,,,,,,,7559.0,2963.0,32377.0,1.0,5977.0,1.0,7260.0,24240.0,16980.0,68.0,,73.0283
20130918,27.71232876712329,1772.989381512877,,0,1.778,7088.0,599.691999927,11286.0,33480.0,2150.0,5040.0,13890.0,2372.681381439877,0.0,0.0,61499.0,1003.0,62304.0,0.0,60504.0,1.0,847.0,847.0,0.0,2.0,,,,8279.0,5019.0,27062.0,0.0,5462.0,1.0,10681.0,18780.0,8099.0,64.0,,73.0283
20130919,27.715068493150685,1772.9708746635617,,0,1.778,6012.0,512.963001549,9725.0,33120.0,980.0,10260.0,11912.0,2285.9338762125617,0.0,0.0,61079.0,719.0,62168.0,0.0,60368.0,1.0,1150.0,1150.0,0.0,3.0,,,,10199.0,4074.0,30729.0,0.0,6129.0,1.0,6480.0,20661.0,14181.0,58.0,,73.0283
20130920,27.71780821917808,1772.9523678142466,,0,1.778,11394.0,978.272000007,18320.0,28080.0,4442.0,6900.0,22559.0,2751.2243678212467,0.0,0.0,,,,,,,,,,,,,,6059.0,1081.0,11900.0,0.0,5000.0,1.0,4680.0,6039.0,1359.0,23.0,,73.0283
20130921,27.720547945205478,1772.9338609649317,,0,1.778,2208.0,173.972999573,3397.0,36000.0,627.0,5880.0,4267.0,1946.9068605379316,0.0,0.0,24239.0,1295.0,33805.0,0.0,23905.0,1.0,4140.0,9780.0,5640.0,26.0,,,,-5941.0,2456.0,23884.0,2.0,-7016.0,1.0,14839.0,28458.0,13619.0,98.0,,73.0283
20130922,27.723287671232878,1772.9153541156165,,0,1.778,1875.0,136.895000413,2714.0,37680.0,322.0,5940.0,3476.0,1909.8103545286165,0.0,0.0,,,,,,,,,,,,,,3779.0,10589.0,33390.0,2.0,2790.0,1.0,7921.0,23941.0,16020.0,66.0,,73.0283
20130923,27.726027397260275,1772.8968472663014,,0,1.778,3960.0,324.584001966,6145.0,36240.0,589.0,8340.0,7632.0,2097.4808492323014,0.0,0.0,,,,,,,,,,,,,,1979.0,754.0,16266.0,0.0,1266.0,1.0,8642.0,14420.0,5778.0,53.0,,73.0283
20130924,27.72876712328767,1772.8783404169862,,0,1.778,3742.0,302.111000098,5843.0,37440.0,479.0,5760.0,7267.0,2074.989340514986,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,73.0283
